127.0.0.1 - - [19/Sep/2022:10:55:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:20 +0530] "GET /Project/index.html HTTP/1.1" 200 4063
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:20 +0530] "GET /Project/CSS//Homestyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:20 +0530] "GET /Project/Media/slide1.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:20 +0530] "GET /Project/Media/tiffin1.jpg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:20 +0530] "GET /Project/Media/tiffin2.jpg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:20 +0530] "GET /Project/Media/tiffin3.jpg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:20 +0530] "GET /Project/Media/tiffin4.jpg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:20 +0530] "GET /Project/Media/tiffin5.jpg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:20 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:22 +0530] "GET /Project/Media/rotis.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:22 +0530] "GET /Project/Home.jsp HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:25 +0530] "GET /Project/FoodServlet?act=getall HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:25 +0530] "GET /Project/FoodList.jsp HTTP/1.1" 200 1301
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:29 +0530] "GET /Project/AddFood.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:32 +0530] "GET /Project/Media/slide1.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:32 +0530] "GET /Project/Media/tiffin2.jpg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:32 +0530] "GET /Project/Media/tiffin1.jpg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:32 +0530] "GET /Project/Media/tiffin3.jpg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:32 +0530] "GET /Project/Media/tiffin4.jpg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:32 +0530] "GET /Project/Media/tiffin5.jpg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:34 +0530] "GET /Project/UserHeader.jsp HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:36 +0530] "GET /Project/UserServlet?act=getall HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:36 +0530] "GET /Project/UserList.jsp HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:39 +0530] "GET /Project/Change.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:39 +0530] "GET /Project/CSS//changeDetails.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:41 +0530] "GET /Project/Media/slide1.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:41 +0530] "GET /Project/Media/tiffin1.jpg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:41 +0530] "GET /Project/Media/tiffin2.jpg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:41 +0530] "GET /Project/Media/tiffin3.jpg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:41 +0530] "GET /Project/Media/tiffin4.jpg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:41 +0530] "GET /Project/Media/tiffin5.jpg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:43 +0530] "GET /Project/Media/rotis.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:45 +0530] "GET /Project/Media/salad_pasta.png HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:47 +0530] "GET /Project/Media/hygienic.png HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:49 +0530] "GET /Project/Media/salads.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:51 +0530] "GET /Project/Media/slide1.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:53 +0530] "GET /Project/UserHeader.jsp HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:55:55 +0530] "GET /Project/AddUser.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:56:04 +0530] "GET /Project/UserServlet?act=getall HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2022:10:56:04 +0530] "GET /Project/UserList.jsp HTTP/1.1" 200 2047
